round,loss,accuracy,f1,fit_wall_s,comm_bytes_down,comm_bytes_up,memory_usage_mb,noise_multiplier
262,0.3702844977378845,0.9161859518154055,0.9161725912906603,0.33040675180391593,218160.0,218160.0,1531.6708777160977,0.0
263,0.3663310408592224,0.9209365456396336,0.9210712941321427,0.3299537108434817,218159.99999999994,218159.99999999994,1531.6708777160977,0.0
264,0.3745214641094208,0.9144893111638955,0.9140957337569412,0.3286100233924272,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
265,0.36703401803970337,0.9199185612487275,0.9202210405148664,0.32654709285439293,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
266,0.38346153497695923,0.9134713267729895,0.9135254544818349,0.3346551144667886,218160.0,218160.0,1531.6708777160977,0.0
267,0.3758993446826935,0.9161859518154055,0.9162912366080791,0.3271589928080649,218160.0,218160.0,1531.6708777160977,0.0
268,0.36895182728767395,0.9189005768578216,0.9192155417215425,0.32560282024647125,218160.0,218160.0,1531.6708777160975,0.0
269,0.3665313124656677,0.9219545300305395,0.9221230202641876,0.33285331499070675,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
270,0.37780648469924927,0.9168646080760094,0.9170475773019805,0.3273422800417953,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
271,0.3664182424545288,0.9138106549032915,0.91406589763294,0.3213666101210265,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
272,0.3677261173725128,0.9192399049881235,0.9196929739901718,0.32726062771026143,218160.0,218160.0,1531.6708777160977,0.0
273,0.3809360861778259,0.9168646080760094,0.9170750432593437,0.3261195604767452,218160.0,218160.0,1531.670877716098,0.0
274,0.3742330074310303,0.9185612487275195,0.9188750890195024,0.32873856638668675,218160.0,218160.0,1531.6708777160977,0.0
275,0.3735616207122803,0.9199185612487275,0.9202677991131781,0.3304901301082512,218160.0,218160.0,1531.6708777160977,0.0
276,0.3717760741710663,0.9185612487275195,0.9188279318363866,0.32777118031036867,218160.0,218160.0,1531.6708777160975,0.0
277,0.3669208586215973,0.9199185612487275,0.9202408704658825,0.3246743903780138,218160.0,218160.0,1531.670877716098,0.0
278,0.37271201610565186,0.9178825924669155,0.9180306017224885,0.3274999975314986,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
279,0.3580959141254425,0.9233118425517476,0.9235533941796591,0.32562025979372056,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
280,0.3749261796474457,0.9168646080760094,0.9169741014503776,0.32234420402784214,218160.0,218160.0,1531.6708777160977,0.0
281,0.36501938104629517,0.9195792331184255,0.9201399166856798,0.3207586918419411,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
282,0.38255125284194946,0.9144893111638955,0.9146243996587636,0.32188716978321136,218159.99999999997,218159.99999999997,1531.6708777160973,0.0
283,0.36520808935165405,0.9209365456396336,0.9214392456664653,0.32975116861787535,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
284,0.38105612993240356,0.9168646080760094,0.9170475773019805,0.3283366975379587,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
285,0.3725576400756836,0.9199185612487275,0.920487697116974,0.32871391312082393,218160.0,218160.0,1531.6708777160977,0.0
286,0.3759568929672241,0.9138106549032915,0.9137664379867971,0.32836931029393446,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
287,0.371676504611969,0.9205972175093315,0.9210240797827688,0.3250927306363061,218159.99999999997,218159.99999999997,1531.6708777160975,0.0
288,0.3750168979167938,0.9205972175093315,0.9210542980848025,0.3286603179408624,218160.0,218160.0,1531.6708777160975,0.0
289,0.3756175935268402,0.9202578893790295,0.9206649194555117,0.3299443611512376,218159.99999999997,218159.99999999997,1531.6708777160977,0.0
290,0.3718276917934418,0.9175432643366135,0.9176900486427745,0.3275782810655849,218160.0,218160.0,1531.703479389112,0.0
291,0.3771878778934479,0.9205972175093315,0.9210038051509604,0.32366895623772657,218160.0,218160.0,1531.7034793891119,0.0
292,0.373013436794281,0.9209365456396336,0.9212384392017894,0.3324510919515924,218160.0,218160.0,1531.7034793891116,0.0
293,0.36959370970726013,0.9189005768578216,0.9194976797989615,0.33745742551131136,218159.99999999997,218159.99999999997,1531.7034793891119,0.0
294,0.37644144892692566,0.9185612487275195,0.9187763211586404,0.33852309838213,218159.99999999997,218159.99999999997,1531.7034793891119,0.0
295,0.3715454339981079,0.9195792331184255,0.920002059931293,0.3352085687909215,218159.99999999997,218159.99999999997,1531.7034793891119,0.0
296,0.3883565366268158,0.9148286392941974,0.9147550884255836,0.32548488399279385,218159.99999999997,218159.99999999997,1531.7448159301891,0.0
297,0.37435704469680786,0.9195792331184255,0.9201271532511924,0.32481326157950735,218160.0,218160.0,1531.7448159301891,0.0
298,0.3771911561489105,0.9178825924669155,0.9179655740856424,0.33128298139675916,218159.99999999994,218159.99999999994,1531.744815930189,0.0
299,0.37190568447113037,0.9182219205972175,0.9188562588350568,0.33941209984292664,218160.0,218160.0,1531.7448159301891,0.0
300,0.3716244399547577,0.9168646080760094,0.9169409988870869,0.3236589370796029,218160.0,218160.0,1531.744815930189,0.0
301,0.3778212368488312,0.9205972175093315,0.9208614636793451,0.324679547055372,218159.99999999997,218159.99999999997,1531.744815930189,0.0
302,0.37951385974884033,0.9202578893790295,0.9205875042901005,0.32540447560825075,218159.99999999997,218159.99999999997,1531.7448159301891,0.0
303,0.37886491417884827,0.9168646080760094,0.9171244108429134,0.32935479066058004,218159.99999999997,218159.99999999997,1531.7448159301891,0.0
304,0.37586113810539246,0.9192399049881235,0.9198183741313037,0.3289391675049903,218159.99999999997,218159.99999999997,1531.7448159301891,0.0
305,0.3708813786506653,0.9189005768578216,0.9194398823819532,0.34117626203416607,218160.0,218160.0,1531.7448159301891,0.0
306,0.3815477788448334,0.9185612487275195,0.9186705911529218,0.33653599195693085,218159.99999999997,218159.99999999997,1531.7448159301894,0.0
307,0.38138899207115173,0.9192399049881235,0.919713492708115,0.3234234683142653,218159.99999999997,218159.99999999997,1531.744815930189,0.0
308,0.3880423903465271,0.9189005768578216,0.9190452485434432,0.32586105448377284,218159.99999999997,218159.99999999997,1531.744815930189,0.0
309,0.37802135944366455,0.9165252799457075,0.9170535226633683,0.32693609514226074,218160.0,218160.0,1531.7448159301891,0.0
310,0.37811219692230225,0.9195792331184255,0.9197300026681597,0.32171949977713904,218160.0,218160.0,1531.7448159301891,0.0
311,0.37127774953842163,0.9185612487275195,0.9192284235519748,0.32966017346906196,218160.0,218160.0,1531.7448159301891,0.0
312,0.3881216049194336,0.9161859518154055,0.9161024970408062,0.3304954235066008,218159.99999999997,218159.99999999997,1531.7448159301891,0.0
313,0.377429336309433,0.9199185612487275,0.9204605990940267,0.3235283830609493,218160.0,218160.0,1531.7448159301891,0.0
314,0.374444842338562,0.9192399049881235,0.9194367879451601,0.3206413186867686,218160.0,218160.0,1531.7448159301891,0.0
315,0.38480526208877563,0.9192399049881235,0.9196615141613783,0.33055238407895665,218159.99999999997,218159.99999999997,1531.744815930189,0.0
316,0.3750380575656891,0.9199185612487275,0.9203406118515897,0.3336844734839438,218160.0,218160.0,1531.7448159301894,0.0
317,0.3740488588809967,0.9192399049881235,0.9198339990790178,0.3303530920576608,218159.99999999997,218159.99999999997,1531.7448159301891,0.0
318,0.38174986839294434,0.9199185612487275,0.9202290577556269,0.3299920268364907,218160.0,218160.0,1531.744815930189,0.0
