round,loss,accuracy,f1,dp_epsilon,dp_epsilon_mean,dp_epsilon_max,fit_wall_s,comm_bytes_down,comm_bytes_up,dp_clip_norm,dp_noise_multiplier,dp_target_epsilon,memory_usage_mb,prox_mu
30,4.304886341094971,0.614140625,0.2568900886804141,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.6491051511642922,105768.0,105768.0,1.0,8.6,10.0,1483.1051597565465,0.01
31,1.9889633655548096,0.6807031250000001,0.3170446450104977,0.2130955132939796,0.3869625351051767,1.4517195424761136,2.6416330224005042,105768.0,105768.0,1.0,8.6,10.0,1483.1205782023817,0.01
32,1.7459691762924194,0.7335937500000002,0.3639058558004167,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.6214939620124436,105768.0,105768.0,1.0,8.6,10.0,1483.1213215536527,0.01
33,2.763098955154419,0.6903906249999999,0.30392175406668553,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.6524307034704018,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.1412092466805,0.01
34,2.4640274047851562,0.6960937499999998,0.37777520076070564,0.21309551329397955,0.3869625351051767,1.4517195424761136,2.6132598466981767,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1483.2026514943798,0.01
35,1.9273680448532104,0.7078124999999998,0.3772035743483208,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6308396206670426,105768.0,105768.0,1.0,8.6,10.0,1483.2026514943796,0.01
36,1.7554130554199219,0.728125,0.38851305967204486,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6259067690868934,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1483.2747535211695,0.01
37,3.5543978214263916,0.584609375,0.2504217092505383,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.604560730275452,105768.0,105768.0,1.0,8.6,10.0,1483.2918871586678,0.01
38,3.3208630084991455,0.6459375000000002,0.29367500483085485,0.21309551329397963,0.3869625351051767,1.4517195424761136,2.6649256465569273,105768.0,105768.0,1.0,8.6,10.0,1483.2994120670285,0.01
39,2.940477132797241,0.5771875000000001,0.29255357879960026,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.6611016029789822,105768.0,105768.0,1.0,8.6,10.0,1485.20021610501,0.01
40,2.3818519115448,0.6834375,0.34782571877047735,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.630699483248619,105768.0,105768.0,1.0,8.6,10.0,1485.2075277568583,0.01
41,2.8576266765594482,0.707890625,0.367924568824691,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.651808717659531,105768.0,105768.0,1.0,8.6,10.0,1485.2345443104382,0.01
42,2.6422531604766846,0.7189843749999999,0.36431248802655686,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6378009370161353,105768.0,105768.0,1.0,8.6,10.0,1485.2345443104382,0.01
43,2.772686719894409,0.681640625,0.35984555666258533,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.641583562259871,105768.0,105768.0,1.0,8.6,10.0,1485.234544310438,0.01
44,2.653853178024292,0.6181249999999999,0.3028114374219646,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6303057454525263,105768.0,105768.0,1.0,8.6,10.0,1485.234544310438,0.01
45,3.6285932064056396,0.63671875,0.2995164037087085,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6334722267123585,105768.0,105768.0,1.0,8.6,10.0,1486.4491323811123,0.01
46,3.1236355304718018,0.645234375,0.3385988076597943,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.60616182139243,105768.0,105768.0,1.0,8.6,10.0,1486.5191201219095,0.01
47,2.3229799270629883,0.721328125,0.3473690248879736,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6199802632051816,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1486.5390078149371,0.01
48,4.330179214477539,0.57859375,0.24108735859661612,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.616757509433578,105768.0,105768.0,1.0,8.6,10.0,1486.539007814937,0.01
49,2.80995512008667,0.66421875,0.33010798008213516,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.6235250460294535,105768.0,105768.0,1.0,8.6,10.0,1486.560476652677,0.01
50,4.195723056793213,0.697421875,0.3360773320695957,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6283384835063677,105768.0,105768.0,1.0,8.6,10.0,1486.560476652677,0.01
51,2.9833316802978516,0.7084375000000002,0.3594979855442751,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6586459549610226,105767.99999999999,105767.99999999999,1.0,8.6,10.0,1486.560476652677,0.01
52,4.179390907287598,0.66640625,0.3393795077024466,0.21309551329397963,0.38696253510517675,1.4517195424761136,2.618413363496369,105768.0,105768.0,1.0,8.6,10.0,1486.560476652677,0.01
53,2.844958782196045,0.7001562499999999,0.36670295696986366,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.652081503308966,105768.0,105768.0,1.0,8.6,10.0,1486.5758950985123,0.01
54,2.8041951656341553,0.6857812499999999,0.3381842026744829,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.6442740952851453,105768.0,105768.0,1.0,8.6,10.0,1486.5920568956187,0.01
55,2.297135353088379,0.740546875,0.3788923140031846,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6563961114010968,105768.0,105768.0,1.0,8.6,10.0,1486.6119445886466,0.01
56,2.303215742111206,0.7385156249999999,0.3918915012765173,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.660293983062257,105768.0,105768.0,1.0,8.6,10.0,1486.6119445886466,0.01
57,2.7495062351226807,0.736953125,0.39066978775806255,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.651376158696332,105768.0,105768.0,1.0,8.6,10.0,1486.611944588646,0.01
58,2.928002119064331,0.727890625,0.3739886025429637,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.616878390916516,105768.0,105768.0,1.0,8.6,10.0,1486.642665712496,0.01
59,2.6027028560638428,0.703125,0.3975891795032456,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6389696503685927,105768.0,105768.0,1.0,8.6,10.0,1486.642665712496,0.01
60,3.898503065109253,0.64296875,0.3238955141879335,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6087261870319804,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1486.6501906208566,0.01
61,2.5506317615509033,0.683515625,0.38472951700587393,0.21309551329397963,0.3869625351051767,1.4517195424761136,2.60984613619381,105768.0,105768.0,1.0,8.6,10.0,1486.6700783138842,0.01
62,2.5714542865753174,0.70203125,0.38144719167181373,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6387295064390996,105768.0,105768.0,1.0,8.6,10.0,1486.6700783138842,0.01
63,3.140892267227173,0.671875,0.37865567401950834,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6522109157264446,105768.0,105768.0,1.0,8.6,10.0,1486.670078313884,0.01
64,3.131760835647583,0.676171875,0.37865813638950313,0.2130955132939796,0.3869625351051767,1.4517195424761136,2.648119125346129,105768.0,105768.0,1.0,8.6,10.0,1486.6700783138842,0.01
65,3.8056795597076416,0.6509374999999998,0.33395290355453244,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6125503021708294,105768.0,105768.0,1.0,8.6,10.0,1486.6700783138845,0.01
66,2.5513598918914795,0.7392187499999999,0.4364121637760328,0.2130955132939796,0.38696253510517675,1.4517195424761136,2.6553706466696076,105768.0,105768.0,1.0,8.6,10.0,1486.6700783138842,0.01
67,3.7461135387420654,0.7353124999999999,0.39339142525766074,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6899383531598926,105768.0,105768.0,1.0,8.6,10.0,1486.677389965733,0.01
68,3.9574778079986572,0.738125,0.3973478075622108,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6408679627150535,105768.0,105768.0,1.0,8.6,10.0,1486.6972776587602,0.01
69,4.870044231414795,0.66203125,0.3416994786662989,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6669499954117795,105768.0,105768.0,1.0,8.6,10.0,1486.6972776587604,0.01
70,3.3562753200531006,0.7246875,0.38946039917622305,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.650608900040179,105768.0,105768.0,1.0,8.6,10.0,1486.6972776587604,0.01
71,5.564058303833008,0.70765625,0.35955164431501535,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.6159891469572325,105768.0,105768.0,1.0,8.6,10.0,1486.6972776587602,0.01
72,2.908646821975708,0.75796875,0.4225990499491206,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.6536857558615106,105768.0,105768.0,1.0,8.6,10.0,1486.7171653517883,0.01
73,4.158781051635742,0.664921875,0.3613962893653523,0.21309551329397955,0.3869625351051767,1.4517195424761136,2.6610143026701656,105768.0,105768.0,1.0,8.6,10.0,1486.717165351788,0.01
74,3.6130661964416504,0.7329687499999998,0.40904321773574503,0.21309551329397958,0.3869625351051767,1.4517195424761136,2.656735330294789,105768.00000000001,105768.00000000001,1.0,8.6,10.0,1486.717165351788,0.01
75,3.3800501823425293,0.723125,0.4001202271650827,0.21309551329397958,0.38696253510517675,1.4517195424761136,2.605004545730616,105768.0,105768.0,1.0,8.6,10.0,1486.7171653517878,0.01
